"OriginalName" "DescriptiveName"
"45" "fBodyAcc-mean()-Z" "Frequency_Body_Acceleration_Mean_Zaxis"
"46" "fBodyAcc-std()-X" "Frequency_Body_Acceleration_StandardDeviation_Xaxis"
"47" "fBodyAcc-std()-Y" "Frequency_Body_Acceleration_StandardDeviation_Yaxis"
"48" "fBodyAcc-std()-Z" "Frequency_Body_Acceleration_StandardDeviation_Zaxis"
"49" "fBodyAccJerk-mean()-X" "Frequency_Body_Acceleration_Jerk_Mean_Xaxis"
"50" "fBodyAccJerk-mean()-Y" "Frequency_Body_Acceleration_Jerk_Mean_Yaxis"
"51" "fBodyAccJerk-mean()-Z" "Frequency_Body_Acceleration_Jerk_Mean_Zaxis"
"52" "fBodyAccJerk-std()-X" "Frequency_Body_Acceleration_Jerk_StandardDeviation_Xaxis"
"53" "fBodyAccJerk-std()-Y" "Frequency_Body_Acceleration_Jerk_StandardDeviation_Yaxis"
"54" "fBodyAccJerk-std()-Z" "Frequency_Body_Acceleration_Jerk_StandardDeviation_Zaxis"
"55" "fBodyGyro-mean()-X" "Frequency_Body_Gyroscopic_Mean_Xaxis"
"56" "fBodyGyro-mean()-Y" "Frequency_Body_Gyroscopic_Mean_Yaxis"
"57" "fBodyGyro-mean()-Z" "Frequency_Body_Gyroscopic_Mean_Zaxis"
"58" "fBodyGyro-std()-X" "Frequency_Body_Gyroscopic_StandardDeviation_Xaxis"
"59" "fBodyGyro-std()-Y" "Frequency_Body_Gyroscopic_StandardDeviation_Yaxis"
"60" "fBodyGyro-std()-Z" "Frequency_Body_Gyroscopic_StandardDeviation_Zaxis"
"61" "fBodyAccMag-mean()" "Frequency_Body_Acceleration_Magnitude_Mean"
"62" "fBodyAccMag-std()" "Frequency_Body_Acceleration_Magnitude_StandardDeviation"
"63" "fBodyBodyAccJerkMag-mean()" "Frequency_Body_Body_Acceleration_JerkMagnitude_Mean"
"64" "fBodyBodyAccJerkMag-std()" "Frequency_Body_Body_Acceleration_JerkMagnitude_StandardDeviation"
"65" "fBodyBodyGyroMag-mean()" "Frequency_Body_Body_Gyroscopic_Magnitude_Mean"
"66" "fBodyBodyGyroMag-std()" "Frequency_Body_Body_Gyroscopic_Magnitude_StandardDeviation"
"67" "fBodyBodyGyroJerkMag-mean()" "Frequency_Body_Body_Gyroscopic_JerkMagnitude_Mean"
"68" "fBodyBodyGyroJerkMag-std()" "Frequency_Body_Body_Gyroscopic_JerkMagnitude_StandardDeviation"
